gateway_transaction_id,order_id,amount_in_cents,currency,status,method,email,contact,error_code,error_description,created_at_timestamp
pay_Gz8x1065,order_Odx1065,118178,INR,captured,wallet,user1065@example.com,+91987651065,,,1788350700
pay_Gz8x1066,order_Odx1066,29322,INR,failed,card,user1066@example.com,+91987651066,BAD_REQUEST_ERROR,Payment failed due to insufficient funds or timeout.,1788352200
pay_Gz8x1067,order_Odx1067,81229,INR,captured,upi,user1067@example.com,+91987651067,,,1788353700
pay_Gz8x1068,order_Odx1068,93850,INR,captured,card,user1068@example.com,+91987651068,,,1788355200
pay_Gz8x1069,order_Odx1069,60958,INR,captured,netbanking,user1069@example.com,+91987651069,,,1788356700
pay_Gz8x1070,order_Odx1070,101920,INR,captured,upi,user1070@example.com,+91987651070,,,1788358200
pay_Gz8x1071,order_Odx1071,1060,INR,captured,netbanking,user1071@example.com,+91987651071,,,1788359700
pay_Gz8x1072,order_Odx1072,49015,INR,captured,wallet,user1072@example.com,+91987651072,,,1788361200
pay_Gz8x1073,order_Odx1073,135276,INR,captured,upi,user1073@example.com,+91987651073,,,1788362700
pay_Gz8x1074,order_Odx1074,50943,INR,captured,upi,user1074@example.com,+91987651074,,,1788364200
pay_Gz8x1075,order_Odx1075,7886,INR,captured,wallet,user1075@example.com,+91987651075,,,1788365700
pay_Gz8x1076,order_Odx1076,133034,INR,captured,upi,user1076@example.com,+91987651076,,,1788367200
pay_Gz8x1077,order_Odx1077,103456,INR,captured,card,user1077@example.com,+91987651077,,,1788368700
pay_Gz8x1078,order_Odx1078,8483,INR,captured,upi,user1078@example.com,+91987651078,,,1788370200
pay_Gz8x1079,order_Odx1079,80139,INR,captured,netbanking,user1079@example.com,+91987651079,,,1788371700
pay_Gz8x1080,order_Odx1080,136121,INR,captured,wallet,user1080@example.com,+91987651080,,,1788373200
pay_Gz8x1081,order_Odx1081,113015,INR,captured,netbanking,user1081@example.com,+91987651081,,,1788374700
pay_Gz8x1082,order_Odx1082,12545,INR,captured,netbanking,user1082@example.com,+91987651082,,,1788376200
pay_Gz8x1083,order_Odx1083,23474,INR,captured,wallet,user1083@example.com,+91987651083,,,1788377700
pay_Gz8x1084,order_Odx1084,50301,INR,captured,wallet,user1084@example.com,+91987651084,,,1788379200
pay_Gz8x1085,order_Odx1085,135821,INR,captured,card,user1085@example.com,+91987651085,,,1788380700
pay_Gz8x1086,order_Odx1086,59108,INR,captured,wallet,user1086@example.com,+91987651086,,,1788382200
pay_Gz8x1087,order_Odx1087,134774,INR,captured,wallet,user1087@example.com,+91987651087,,,1788383700
pay_Gz8x1088,order_Odx1088,51083,INR,captured,wallet,user1088@example.com,+91987651088,,,1788385200
pay_Gz8x1089,order_Odx1089,80584,INR,captured,wallet,user1089@example.com,+91987651089,,,1788386700
pay_Gz8x1090,order_Odx1090,64863,INR,captured,wallet,user1090@example.com,+91987651090,,,1788388200
pay_Gz8x1091,order_Odx1091,68750,INR,captured,netbanking,user1091@example.com,+91987651091,,,1788389700
pay_Gz8x1092,order_Odx1092,13204,INR,captured,card,user1092@example.com,+91987651092,,,1788391200
pay_Gz8x1093,order_Odx1093,97871,INR,captured,card,user1093@example.com,+91987651093,,,1788392700
pay_Gz8x1094,order_Odx1094,36543,INR,captured,wallet,user1094@example.com,+91987651094,,,1788394200
pay_Gz8x1095,order_Odx1095,39180,INR,captured,netbanking,user1095@example.com,+91987651095,,,1788395700
pay_Gz8x1096,order_Odx1096,18065,INR,captured,upi,user1096@example.com,+91987651096,,,1788397200
pay_Gz8x1097,order_Odx1097,136296,INR,captured,wallet,user1097@example.com,+91987651097,,,1788398700
pay_Gz8x1098,order_Odx1098,103902,INR,captured,upi,user1098@example.com,+91987651098,,,1788400200
pay_Gz8x1099,order_Odx1099,19037,INR,captured,card,user1099@example.com,+91987651099,,,1788401700
